path	filename	aocr:verbatimInstitution	aocr:verbatimScientificName	dwc:associatedTaxa	dwc:catalogNumber	dwc:country	dwc:county	dwc:datasetName	dwc:dateIdentified	dwc:decimalLatitude	dwc:decimalLongitude	dwc:eventDate	dwc:fieldNotes	dwc:habitat	dwc:identifiedBy	dwc:municipality	dwc:occurrenceRemarks	dwc:recordedBy	dwc:recordNumber	dwc:scientificName	dwc:sex	dwc:stateProvince	dwc:substrate	dwc:verbatimCoordinates	dwc:verbatimElevation	dwc:verbatimEventDate	dwc:verbatimLatitude	dwc:verbatimLocality	dwc:verbatimLongitude
ACIS/Data/parsed/herb	NY_01498009.csv	TROPICAL FOREST HERBARIUM	Linociera holdridgii/ Camp & Monachino		1498009	Puerto Rico						1950-07-02	Fruits light green (immature)	Dry forest	E. L. Little, Jr			Elbert L. Little, Jr.	13188			Bosque Insuler de Guánica			200 ft.	July 2, 1950		Tropical Forest Experiment Station, Rio Piedras, Puerto Rico	
ACIS/Data/parsed/herb	NY_00040685.csv	The New York Botanical Garden	Jasminum fluminense Vell.		00040685	Puerto Rico		INSTITUTE OF ECONOMIC BOTANY Pfizer Collections and Extractions	1994			1994-11-04	somewhat dry calcareous rock.  Climbing; stems 2.5m; flowers white.		T. Zanoni			Daniel Atha	711	Jasminum fluminense Vell.		Mun Quebradillas				November 4, 1994	18°29'N	Growing on roadside	66°56'W
ACIS/Data/parsed/herb	NY_00198993.csv	ARNOLD ARBORETUM	Polyscias obtusa Harms		00198993	CUBA		PLANTS FROM HARVARD TROPICAL GARDEN	1936			1931-03-12	Many stems 2-4 ft. high.		A. C. Smith			J.G. Jack	8179	Polyscias obtusa Harms		PROVINCE OF SANTA CLARA				March 12, 1931		SOLEDAD, CIENFUEGOS, PROVINCE OF SANTA CLARA, CUBA	
ACIS/Data/parsed/herb	NY_01334326.csv	THE NEW YORK BOTANICAL GARDEN	Buchnera elongata Sw.		01334326	BAHAMAS		EXPLORATION OF THE BAHAMAS	1919				Rocky soil		FWP			N. L. BRITTON L. J. K. BRACE	203	Buchnera elongata Sw.		New Providence				Aug. 24 1904		New Providence	
ACIS/Data/parsed/herb	NY_01334442.csv	University of Texas Herbarium (LL, TEX)	Capraria biflora L.		01334442	DOMINICAN REPUBLIC		PLANTS OF THE DOMINICAN REPUBLIC	1996-07-30			1970-04-25			G. Fleming & P. Genelle			D. Burch	2404	Capraria biflora L.		Province of Puerto Plata				25 April 1970		Rocky slopes of serpentine limestone hill, coast road ca 35 km E of junction with Puerto Plata--Santiago road, Province of Puerto Plata	
ACIS/Data/parsed/herb	NY_01498103.csv	THE NEW YORK BOTANICAL GARDEN	Cynoctonum mitreola (L.) Britton		01498103	CUBA		EXPLORATION OF CUBA	1974			1916-03-08	Edge of water hole		A.J.M. Leeuwenberg			N.L. BRITTON	15254	Cynoctonum mitreola (L.) Britton						MARCH 8, 1916		ISLE OF PINES CALET COCODRILOS	
ACIS/Data/parsed/herb	NY_00499439.csv	NEW YORK BOTANICAL GARDEN ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA	Cymbalaria Cymbalaria (L.) Wettst		00499439	BERMUDA		EXPLORATION OF BERMUDA				1905-08-31/1905-09-20						STEWARDSON BROWN	355	Cymbalaria cymbalaria (L.) Wettst						AUG. 31-SEPT. 20, 1905		Roadside wall, The Crawl.	
ACIS/Data/parsed/herb	NY_00819627.csv	Missouri Botanical Garden	Ludwigia octovalavis (Jacq.) Raven		00819627	PORTO RICO		EXPLORATION OF PORTO RICO	1980			1922-03-11			T.P.  Ramamoorthy			N. L BRITTON F. S. EARLE	6485	Ludwigia octovalavis (Jacq.) Raven						March 11, 1922		Vicinity of Aguirre	
ACIS/Data/parsed/herb	NY_00819657.csv	Missouri Botanical Garden	Ludwigia palustris (L.) Ell.		00819657	PORTO RICO		EXPLORATION OF PORTO RICO	1981			1922-03-20/1922-03-22			Ching-I Peng			N. L. BRITTON	6702	Ludwigia palustris (L.) Ell.						MARCH 20-22, 1922		VICINITY OF DORADO	
ACIS/Data/parsed/herb	NY_01334314.csv	THE NEW YORK BOTANICAL GARDEN	Buchnera elongata Sw.		01334314	Bahamas			1949			1903-03/1903-05			FWP.			A. H. CURTISS		Buchnera elongata Sw.						MARCH, APRIL AND MAY, 1903		Nassau and vicinity, N. P. Bahamas	
ACIS/Data/parsed/herb	NY_00413475.csv	JARDIN BOTANICO NACIONAL DR. RAFAEL M. MOSCOSO	Jasminium fluminense Vell.		00413475	Republica Dominicana			1982-01			1980-10-15	fl. white, perfume odor; fr. 1 cm. black with red-purple juice;					M.Mejia, T. Zanoni	8651	Jasminium fluminense Vell.		Prov. San Pedro de Macoris			to 10 m.	October 15, 1980	18°27'N	Republica Dominicana: Prov. San Pedro de Macoris: center of town at Boca de Soco; (mouth of river); in fence row on town to La Romana -San Pedro de Macoris road. 18°27'N, 69°13'W, alt. to 10 m.	69°13'W
ACIS/Data/parsed/herb	NY_01498098.csv	THE NEW YORK BOTANICAL GARDEN	Cynoctonum mitreola (L.) Britton		01498098	CUBA		EXPLORATION OF CUBA	1974			1912-04-12	Corolla white	Muddy soil	A.J.M. Leeuwenberg			N.L. BRITTON	NO13350			HAVANA				April 12, 1912		PROVINCE OF HAVANA WET COASTAL SAVANNA, BATABANO	
ACIS/Data/parsed/herb	NY_01498025.csv	NEW YORK BOTANICAL GARDEN	Haenianthus salicifolius, Griseb		01498025			Plantae Cubenses Wrightianae.	1939			1860/1864			P.W.			C. WRIGHT	409							1860-1864.			
ACIS/Data/parsed/herb	NY_00198980.csv	NEW YORK BOTANICAL GARDEN CARNEGIE INSTITUTION OF WASHINGTON UNITED STATES NATIONAL MUSEUM	Polyscias filicifolia (Moore) Bailey		00198980	ST. THOMAS		WEST INDIAN EXPLORATION 1913	1936			1913-02-27	Cultivated		A. C. Smith			E. G. BRITTON		Polyscias filicifolia (Moore) Bailey						FEBRUARY 27, 1913		ST. THOMAS	
ACIS/Data/parsed/herb	NY_01498119.csv	HERBARIO DEL COLEGIO DE LA SALLE VEDADO-HABANA	Cynoctonum mitreola (L.)Britt.		01498119				1974			1950-08-23			A.J.M. Leeuwenberg			Bro. Alain	1525	Cynoctonum mitreola (L.) Britton						Aug. 23, 1950		La Palma river, near Sancti Spirítus, Las Villas.	
ACIS/Data/parsed/herb	NY_01334318.csv	NEW YORK BOTANICAL GARDEN	Buchnera floridana Gandoger.		01334318	BAHAMAS		FLORA OF ANDROS ISLAND, BAHAMAS				1987-06-13			D. L. Nickrent			D. L. Nickrent	2634	Buchnera floridana Gandoger.		ANDROS ISLAND				June 13, 1987		Area around the San Andros Motel.	
ACIS/Data/parsed/herb	NY_01334423.csv	Herbarium FAIRCHILD TROPICAL GARDEN	Capraria biflora L.		01334423	Caicos Island		PLANTS OF THE WEST INDIES	1996-07-30			1975-12-14	Plants erect, on edge of coppice, about 1 m tall; flowers white.		J. Williams & B.L. Turner			D. S. Correll	46333	Capraria biflora L.						December 14, 1975		Caicos Island: Providenciales, on coppice-covered hills above Turtle Cove.	
ACIS/Data/parsed/herb	NY_00754872.csv	UNIVERSIDAD DE PUERTO RICO Jardín Botánico Herbario	Bambusa vulgaris Schrad.		00754872	PUERTO RICO			1979			1979-03-10	Tall, 10 m high, branches drooping; glumes yello-wish green.		A.H.Liogier			Alain H. & Perfa Liogier & N.J.Melo.	29625	Bambusa vulgaris Schrad.					30 m.	10/3/79		On roadside, near Cabo Rojo. Alt. 30 m.	
ACIS/Data/parsed/herb	NY_01498069.csv	FAIRCHILD TROPICAL GARDEN	Mitreola petiolata (J.F. Bmel.) T. & G.		01498069	WEST INDIES		PLANTS OF THE WEST INDIES				1979-08-04			D.S. Correll			Reben Sauleda	2826							August 4, 1979		Bahamas: Little Abaco, 2.7 miles north of Cat (causeway).	
ACIS/Data/parsed/herb	NY_01498198.csv	MISSOURI BOTANICAL GARDEN HERBARIUM	Spigelia anthelmia L.		01498198	BAHAMA ISLANDS		PLANTS OF THE BAHAMA ISLANDS	2001-05-26			1969-12-27	primarily sand and coral.		F.J. FERNÁNDEZ CASAS			Walter H. Lewis	7469	Spigelia anthelmia L.						27 Dec. 1969		ELEUTHERA: The Current. vicinity of the village and beach, primarily sand and coral.	
ACIS/Data/parsed/herb	NY_01497987.csv	HERBARIO DEL COLEGIO DE LA SALLE VEDADO-HABANA	Linociera domingensis (Lam.) Knobl.		01497987							1934-10						Bro. León	16235	Linociera domingensis (Lam.) Knobl.		Oriente				0ct., 1934		Cultivated in Guatao, Habana, from a plant from El Gato. Sierra Maestra, Oriente.	
ACIS/Data/parsed/herb	NY_01334334.csv	JARDIN BOTANICO NACIONAL "DR. RAFAEL M. MOSCOSO" SANTO DOMINGO, REPUBLICA DOMINICANA	Buchnera longifolia Kunth		01334334	República Dominicana						1985-07-11	Corola rosado-púrpura claro, una hierba en un potrero.					T. Zanoni	35276	Buchnera longifolia Kunth		Prov. La Altagracía				11 julio, 1985	18°45'N	República Dominicana: Llano Costero: Prov. La Altagracía: en la finca de John Hooper, en "Serra", en la cuenca del Río Duey, del municipio de Higuey potreros, pero bosque de galeria en las orillas del río y sus tributarios. 18°45'N, 68°48’Oeste	68°48’Oeste
ACIS/Data/parsed/herb	NY_00617142.csv	JARDIN BOTANICO NACIONAL "DR. RAFAEL M. MOSCOSO" SANTO DOMINGO, REPUBLICA DOMINICANA	Dendropanax arboreus (L.) Dcne & PL.		00617142	Rep. Dominicana						1984-07-18	7m; Fr. blanco, pero negro al madurar, 5-6mm. diam.					T. Zanoni, J. Pimentel, R. García		Dendropanax arboreus (L.) Dcne & PL.		Prov. Samaná			300-400m.	Jul. 18, 1984	19°17'N	Rep. Dominicana: Península y Prov. Samaná en el paso y en la cara al viento (N) de Loma Pan de Azúcar, subiendo del poblado de La Laguna; 19°17’N, 69°18’Oeste, elev. 300-400m.	69°18'Oeste
ACIS/Data/parsed/herb	NY_01498171.csv	THE NEW YORK BOTANICAL GARDEN	Spigelia anthelmia L.		01498171	BAHAMAS		EXPLORATION OF THE BAHAMAS	1968-12			1910-02-04/1910-02-05	low herb; on sand dune		Homer Hurley			J.K. SMALL J.J. CARTER	8924	Spigelia anthelmia L.						FEBRUARY 4-5, 1910		COPPICE, NEAR NICHOLL'S TOWN, NORTHERN SECTION, ANDROS	
ACIS/Data/parsed/herb	NY_00532999.csv	JARDIN BOTANICO NACIONAL "DR. RAFAEL M. MOSCOSO" SANTO DOMINGO, REPUBLICA DOMINICANA	Cajanus cajan (L.) Millsp.		00532999	Rep. Dominicana		PRUEBA DE ESTUDIO DEL NATIONAL CANCER INSTITUTE, USA	1994			8/13/1992	Arbustoso de 2-2.5 m. de alto; cultivado aquí entre la carretera y el río; semillas comestibles llamadas "guandules".		T. Zanoni			T. Zanoni, F. Jiménez	46950	Cajanus cajan (L.) Millsp.		Prov. Monseñor Nouel			120 m.	13 agost. 1992	18°53'N	Rep. Dominicana: límite Cordillera Central: Prov. Monseñor Nouel: aprox. 4-4.5 km. al N de Piedra Blanca en la carretera a Maimón, próximo al poblado rural "El Cinco", ladera, corte del camino de una loma de roca serpen-tinosa; Valle del río Maimón. 18°53'N, 70°18'Oeste; elev. 120 m.	70°18'Oeste
ACIS/Data/parsed/herb	NY_01334446.csv	The University of Texas Herbarium (LL, TEX)	Capraria biflora L.		01334446	Barbados			1996-07-30			1969-01-31	Open fields		J. Williams & B.L. Turner			L. M. ANDREWS	643	Capraria biflora L.		St. James Parish				Jan.31, 1969		St. James Parish, Barbados	
ACIS/Data/parsed/herb	NY_01498087.csv	SMITHSONIAN INSTITUTION FROM THE UNITED STATES NATIONAL HERBARIUM	Cynoctonum mitreola(L.)Britton =Mitreola petiolata Torr & Gray		01498087	HAITI		PLANTS OF HAITI BIOLOGICAL EXPLORATION CONDUCTED BY DR. W. L. ABBOTT	1974			1920-05-05/13			A.J.M. Leeuwenberg			E.C.LEONARD	4194							May 5-13, 1920		Vicinity of Fond Parisien, Etang Saumatre	
ACIS/Data/parsed/herb	NY_01498186.csv	MISSOURI BOTANICAL GARDEN HERBARIUM	Spigelia anthelmia L.		01498186	BAHAMA ISLANDS		PLANTS OF THE BAHAMA ISLANDS	2001-05-30			1969-01-02	corolla white with pink stripes; occasional.		F.J. FERNÁNDEZ CASAS			Walter H. Lewis	7241	Spigelia anthelmia L.						2 Jan. 1969		ELEUTHERA ISLAND: Ridley Head, opposite Spanish Wells. disturbed slopes above sea, shallow soil & limestone.	
ACIS/Data/parsed/herb	NY_01498090.csv	FAIRCHILD TROPICAL GARDEN	Mitreola petiolata (J. F. Gmel.) T. & G.		01498090	BAHAMA		PLANTS OF BAHAMA ISLAND				1979-06-07	Plants 1.5 m tall.	in marsh				D.S. Correll	50709							June 7, 1979		New Providence: in marsh between Highland Park and Bay Street.	
ACIS/Data/parsed/herb	NY_01334531.csv	University of North Carolina, Chapel Hill	Lindernia diffusa (L.) Wettst.		01334531	ST. VINCENTS		REVISIONARY STUDIES IN LINDERNIA ALLIONI	1984-06-15			1890-03			D. A. Qualls			H. H. & G. W. Smith	228	Vandellia diffusa L.						March, 1890		ST. VINCENTS:	
ACIS/Data/parsed/herb	NY_01497989.csv	HERBARIO DEL COLEGIO DE LA SALLE VEDADO-HABANA	Linociera domingensis (Lam.) Knobl.		01497989							1952-03-23						M.López Figueiras	425	Linociera domingensis (Lam.) Knobl.		Oriente				March 23, 1952		Wayside, near La Idalia, Gran Piedra, Oriente.	
ACIS/Data/parsed/herb	NY_01334383.csv	NEW YORK BOTANICAL GARDEN	Capraria biflora L.		01334383	JAMAICA		PLANTS OF JAMAICA	1996-07-30			1958-02-15	Shrub, about 2 ft. high; flowers white, faintly tinged with pink. In open area		J. Williams & B.L. Turner			T. G. YUNCKER	18186	Capraria biflora L.		St. Thomas			0-20 ft.	Feb. 15, 1958		Parish: St. Thomas	
ACIS/Data/parsed/herb	NY_00227183.csv	The New York Botanical Garden	Sideroxylon americanum (Mill.) T. D. Penn.		00227183	NAVASSA ISLAND		PLANTS OF NAVASSA ISLAND				1998-07-26	tree to ca. 5 m; fruit green					William R. Buck and Thomas A. Zanoni	34256	Sideroxylon americanum (Mill.) T. D. Penn.						26 July 1998	18°24'N	18°24'N, 75°01'W; N of lighthouse, near end of trail;	75°01'W
ACIS/Data/parsed/herb	NY_00040919.csv	The New York Botanical Garden INSTITUTE OF ECONOMIC BOTANY	Manilkara bidentata (A.L. Candolle) Chevalier		00040919	Dominica		Plants of Commonwealth of Dominca	1993			1992-08-24	Tree to 20m with dbh 1.5m; bark rough, thick; mature leaves mottled and scarred. n.v.: Bullet Wood [English]. Balata [Creole-Patois]. USE: Material for construction {wood]. Used in housebuilding		Hans T. Beck			James Higgins	53	Manilkara bidentata (A.L. Candolle) Chevalier					200m	August 24, 1992	15°13'N	WEST INDIES, Dominica. Carib Territory. Land of Wilbur Rabbaes, Atkinson. In field 0.9km downhill from top of ridge. 15°13'N, 61°16'W. 200m. Cleared forest, cultivated banana field.	61°16'W
ACIS/Data/parsed/herb	NY_01498065.csv	FAIRCHILD TROPICAL GARDEN	Cynoctonum mitreola (L.) Britt.		01498065	Bahama Islands		PLANTS OF BAHAMA ISLANDS				1976-12-08	Flowers whitish.	in swale in savannah				D. S. Correll & G. R. Proctor	47839	Cynoctonum mitreola (L) Britt.						December 8, 1976		North Andros: in swale in savannah along Bail Road, south of Twin Lakes Farm turn-off.	
ACIS/Data/parsed/herb	NY_01334508.csv	THE NEW YORK BOTANICAL GARDEN	Lindernia crustacea (L.) F. Muell.		01334508	Puerto Rico		Plants of Puerto Rico	1984-06-15			1964-04-30	Trailing; flowers violet and white.		D. A. Qualls			Brother Alain Liogier	10875	Lindernia crustacea (L.) F. Muell.						April 30, 1964		Waste grounds, Bayamon.	
ACIS/Data/parsed/herb	NY_01498113.csv	Herbarium Vadense (WAG)	Meitreola petiolata Torr. Gray		01498113			Plantae Cubenses Wrightianae	1974			1860/1864			I. URBAN			C. WRIGHT	389	Mitreola petiolata (J.F. Gmel.) Torr. & A. Gray						1860-1864		Bayamon, in arenosis maritimus ad Cataño.	
ACIS/Data/parsed/herb	NY_00819622.csv	THE NEW YORK BOTANICAL GARDEN	Jussiaea diffusa Forsk.		00819622	PORTO RICO		EXPLORATION OF PORTO RICO	1939			1915-03-23			Philip A. Munz			N. L. Britton B. H. Dutcher	5722	Jussiaea diffusa Forsk.		Loiza				March 23, 1915		Loiza	
ACIS/Data/parsed/herb	NY_01334389.csv	EX HERB. ACAD. RHENO-TRAI.	Capraria biflora L.		01334389	Aruba			1953-12			1953-01-17			A.L.Stoffers			A.L.Stoffers	1572	Capraria biflora L.						17 Jan. 1953		Along roads near Noord. Neth,Antilles.	
ACIS/Data/parsed/herb	NY_00499577.csv	THE NEW YORK BOTANICAL GARDEN	Lindernia diffusa (L.) Wettst.		00499577	Dominican Republic		Plants of Hispaniola Dominican Republic	1971			1971-03-13	Herbaceous, creeping on the ground; flowers white; common in cultivated grounds		A. H. Liogier			Bro. Alain H. Liogier	17948	Lindernia diffusa (L.) Wettst.					50 m.	13 M4r., 1971		near Sabana de la Mar. Alt. 50 m.	
ACIS/Data/parsed/herb	NY_00617450.csv	Dept. Agriculture, Ottawa	Daucus Carota L.		00617450	DOMINICAN REPUBLIC			1976-11			1946-09-02	3' h erb ; fls. White; in grassy areas near the river. Plants of pine woodlands.		Ernest Small			R. A. & E. S. Howard	8726	Daucus carota L.		prov. San Juan			3500'	Sept. 2, 1946		DOMINICAN REPUBLIC prov. San Juan	
ACIS/Data/parsed/herb	NY_01334304.csv	Herbarium FAIRCHILD TROPICAL GARDEN	Buchneria floridana Gand.		01334304	BAHAMA ISLANDS		PLANTS OF BAHAMA ISLANDS				1975-05-24	Flowers lavender-pink.					D. S. Correll & John Popenoe	45411	Buchneria floridana Gand.		Grand Bahama				May 24, 1975		Grand Bahama: in wet soil about Pelican Lake.	
ACIS/Data/parsed/herb	NY_00198990.csv	FOREST SERVICE HERBARIUM	Polyscias guilfoylei (Bull) Bailey		00198990	Puerto Rico						1972-03-27	Shrub or small tree. Bark gray, smooth, slightly warty. Planted as ornamental.					Elbert L. Little, Jr.	26168	Polyscias guilfoylei (Bull) Bailey		Rio Piedras			50 ft.	March 27, 1972		Univ. Puerto Rico Agr. Exp. Sta., Rio Piedras, Puerto Rico. Altitude 50 ft.	
ACIS/Data/parsed/herb	NY_00385378.csv	NEW YORK BOTANICAL GARDEN	Agalinis kingsii Proctor		00385378	CAYMAN ISLANDS		FLORA OF THE CAYMAN ISLANDS				1992-08-08	Erect branched herb, locally frequent; corolla pink.					George R. Proctor	48285	Agalinis kingsii Proctor		Grand Cayman				Aug. 8, 1992		Grand Cayman	
ACIS/Data/parsed/herb	NY_01334403.csv	THE NEW YORK BOTANICAL GARDEN	Capraria biflora L		01334403	TURKS ISLANDS		PLANTS COLLECTED IN TURKS ISLANDS, 1905	1996-07-30			1905-08-27/1905-09-01	1-3ft. fls. white		J. Williams & B.L. Turner			GEORGE V. NASH	3827	Capraria biflora L.						August 27-September 1		Grand Turk	
ACIS/Data/parsed/herb	NY_00198945.csv	NEW YORK BOTANICAL GARDEN ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA BERMUDA DEPARTMENT OF AGRICULTURE	Gastonia cutispongia Lam.		00198945	BERMUDA		EXPLORATION OF BERMUDA				1913-09	Planted					STEWARDSON BROWN	1674	Gastonia cutispongia Lam.						SEPT., 1913		Bellevue	
ACIS/Data/parsed/herb	NY_01498039.csv	Ex Herb. Mus. Brit.	Olea europea L.		01498039			FLORA OF ANTIGUA				1938-05-07		Two trees are known to me, both on Vernons Estate (limestone district). They are obviously very old but are growing well. Not seen in flower or fruit.				HAROLD E. BOX	.1427	Olea europea L.						7th. May. 1938.		Vernon's.	
ACIS/Data/parsed/herb	NY_01334374.csv	The University of Texas Herbarium (LL, TEX)	Capraria biflora L.		01334374	St. Vincent		Plants of the West Indies	1996-07-30			1962-01-12	Stem ligneous Flowers white. Plant of moderate height.		J. Williams & B.L. Turner			George R. Cooley	8141	Capraria biflora L.		St. George Parish				12 January 1962		St. George Parish, Calli-aqua Bay, littoral.	
ACIS/Data/parsed/herb	NY_01498062.csv	NEW YORK BOTANICAL GARDEN	Cynoctonum mitreola(L)Britt.		01498062	Bahamas						1903-03/05						A. H. CURTISS		Cynoctonum mitreola (L) Britt.						MARCH, APRIL AND MAY, 1903		Nassau and vicinity, N. P. Bahamas	
ACIS/Data/parsed/herb	NY_01334407.csv	Herbarium FAIRCHILD TROPICAL GARDEN	Capraria biflora L.		01334407	Caicos Islands		PLANTS OF THE WEST INDIES	1996-07-30			1974-08-29	Flowers white.		J. Williams & B.L. Turner			D.S. Correll	43274	Capraria biflora L.						August 29, 1974		Caicos Islands: North Caicos	
ACIS/Data/parsed/herb	NY_01498043.csv	NEW YORK BOTANICAL GARDEN ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA	Olea europaea L.		01498043	BERMUDA	Paget	EXPLORATION OF BERMUDA				1905-08-31/1905-09-20		Rocky thicket				Stewardson Brown N. L. Britton	382	Olea europaea L.						AUG. 31-SEPT. 20, 1905		Rocky thicket, Sand Hills, Paget.	
ACIS/Data/parsed/herb	NY_01334454.csv	The University of Texas Herbarium (LL, TEX)	C. b.		01334454			Plants of the Isle of Pines	1919			1904-03			FWP			A. H. CURTISS		Capraria biflora L.		Isle of Pines				MARCH, 1904		Nueva Gerona	
ACIS/Data/parsed/herb	NY_00191205.csv	The New York Botanical Garden Institute of Economic Botany	Cassipourea elliptica (Sw.) Poir.		00191205	DOMINICA		Plants of Dominica	1998			1994-01-18	Direct sun, dry soil. Shrub to 4m; flowers small, pink/white; pistils gr leaves shiny green, bark brown, smooth. NV: Bois Die? Dye [Creole] USES: Charm against spells {bark or dryed wood}. As tea. The dryed wood is burned first.		M. Nee			J. Higgins	109	Cassipourea elliptica (Sw.) Poir.						18-Jan-94		DOMINICA. Carib Territory. Ridge Road, roadside, Bataka. Roadside, steep dropoff.	
ACIS/Data/parsed/herb	NY_01334433.csv	The University of Texas Herbarium (LL, TEX)	Capraria biflora L.		01334433	Cuba		Plantæ Cabenses Wrightianæ.	1996-07-30			1860			J. Williams & B.L.Turner			C. WRIGHT	375	Capraria biflora L.						1860		in Cuba Orientali, prope	
ACIS/Data/parsed/herb	NY_01498080.csv	NEW YORK BOTANICAL GARDEN	Cynoctonum mitreola(L.)Britton		01498080	JAMAICA		EXPLORATION OF JAMAICA	1974			1908-03-09/12			A.J.M. Leeuwenberg			N. L. BRITTON ARTHUR HOLLICK	2113							MARCH 9-12, 1908		NEGRIL AND VICINITY Border of Great Morass	
ACIS/Data/parsed/herb	NY_01334328.csv	NEW YORK BOTANICAL GARDEN	Buchnera elongata SW		01334328	Jamaica			1988			1970-02-13	Among tall grass and bushes		KAV			L. M. ANDREWS	764	Buchnera elongata Sw.					2200 Ft.	Feb.13, 1970		Mason River Station, Institute of Jamaica Jamaica W.I.	
